TileID	first_line	last_line	first_column	last_column	lats	lons
TILE_0079	4500	4999	3500	3999	[        nan         nan  51.0498085         nan]	[         nan          nan -37.66681862          nan]
TILE_0081	500	999	4000	4499	[         nan          nan          nan -35.13127518]	[         nan          nan          nan -44.09191704]
TILE_0082	1000	1499	4000	4499	[-22.95700169          nan -35.07124138 -21.92885876]	[-56.81773186          nan -44.04276276 -36.72346497]
TILE_0083	1500	1999	4000	4499	[-11.02182007 -22.90531063 -21.881073   -10.63207865]	[-50.32457352 -56.77319717 -36.7061882  -33.89321709]
TILE_0084	2000	2499	4000	4499	[ -0.02173815 -10.97674465 -10.58879662  -0.0210164 ]	[-48.71061897 -50.31090736 -33.88662338 -33.09795189]
TILE_0085	2500	2999	4000	4499	[ 10.97674465   0.02173815   0.0210164   10.58879662]	[-50.31090736 -48.71061897 -33.09795189 -33.88662338]
TILE_0086	3000	3499	4000	4499	[ 22.90531063  11.02182007  10.63207865  21.881073  ]	[-56.77319717 -50.32457352 -33.89321709 -36.7061882 ]
TILE_0087	3500	3999	4000	4499	[         nan  22.95700169  21.92885876  35.07124138]	[         nan -56.81773186 -36.72346497 -44.04276276]
TILE_0088	4000	4499	4000	4499	[         nan          nan  35.13127518          nan]	[         nan          nan -44.09191704          nan]
TILE_0092	1000	1499	4500	4999	[         nan          nan          nan -22.96368217]	[         nan          nan          nan -56.93360138]
TILE_0093	1500	1999	4500	4999	[         nan          nan -22.91195011 -11.0240531 ]	[         nan          nan -56.88871002 -50.40774918]
TILE_0094	2000	2499	4500	4999	[         nan          nan -10.97896433  -0.02174321]	[         nan          nan -50.39401817 -48.78775406]
TILE_0095	2500	2999	4500	4999	[         nan          nan   0.02174321  10.97896433]	[         nan          nan -48.78775406 -50.39401817]
TILE_0096	3000	3499	4500	4999	[         nan          nan  11.0240531   22.91195011]	[         nan          nan -50.40774918 -56.88871002]
TILE_0097	3500	3999	4500	4999	[         nan          nan  22.96368217          nan]	[         nan          nan -56.93360138          nan]
